역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
3124,인천시청,S2801,인천지하철 1호선,Incheon City Hall,仁川市廳,일반역,,,37.457615,126.702216,인천교통공사,인천광역시 남동구 예술로 264,032-441-3124,2025-06-30
3125,예술회관,S2801,인천지하철 1호선,Arts Center,藝術會館,일반역,,,37.449334,126.701221,인천교통공사,인천광역시 남동구 예술로 172,032-441-3125,2025-06-30
3126,인천터미널,S2801,인천지하철 1호선,Incheon Bus Terminal,仁川터미널,일반역,,,37.441917,126.699727,인천교통공사,인천광역시 미추홀구 예술로 85,032-441-3126,2025-06-30
3127,문학경기장,S2801,인천지하철 1호선,Munhak Sports Complex,文鶴競技場,일반역,,,37.434964,126.698373,인천교통공사,인천광역시 연수구 예술로 2,032-441-3127,2025-06-30
3128,선학,S2801,인천지하철 1호선,Seonhak,仙鶴,일반역,,,37.426985,126.698872,인천교통공사,인천광역시 연수구 경원대로 480,032-821-3128,2025-06-30
3129,신연수,S2801,인천지하철 1호선,Sinyeonsu,新延壽,일반역,,,37.418032,126.693853,인천교통공사,인천광역시 연수구 경원대로 368,032-813-3129,2025-06-30
3130,원인재,S2801,인천지하철 1호선,Woninjae,源仁齋,환승역,S2801+I28K3,수인분당선,37.412364,126.687893,인천교통공사,인천광역시 연수구 경원대로 285,032-816-3130,2025-06-30
3131,동춘,S2801,인천지하철 1호선,Dongchun,東春,일반역,,,37.404676,126.680835,인천교통공사,인천광역시 연수구 경원대로 180,032-814-5702,2025-06-30
3132,동막,S2801,인천지하철 1호선,Dongmak,東幕,일반역,,,37.398173,126.673561,인천교통공사,인천광역시 연수구 경원대로 80,032-816-5584,2025-06-30
3133,캠퍼스타운,S2801,인천지하철 1호선,Campus Town, ,일반역,,,37.388209,126.662287,인천교통공사,인천광역시 연수구 송도국제대로 66,032-451-3183,2025-06-30
3134,테크노파크,S2801,인천지하철 1호선,Technopark, ,일반역,,,37.382311,126.656355,인천교통공사,인천광역시 연수구 송도국제대로 150,032-451-3184,2025-06-30
3135,지식정보단지,S2801,인천지하철 1호선,BIT Zone,知識情報團地,일반역,,,37.378021,126.645412,인천교통공사,인천광역시 연수구 인천타워대로 57,032-451-3185,2025-06-30
3136,인천대입구,S2801,인천지하철 1호선,Incheon National University,仁川大入口,일반역,,,37.386239,126.639351,인천교통공사,인천광역시 연수구 인천타워대로 155,032-451-3186,2025-06-30
3137,센트럴파크,S2801,인천지하철 1호선,Central Park, ,일반역,,,37.392833,126.635671,인천교통공사,인천광역시 연수구 인천타워대로 240,032-451-3187,2025-06-30
3138,국제업무지구,S2801,인천지하철 1호선,Int'l Business District,國際業務地區,일반역,,,37.400464,126.630094,인천교통공사,인천광역시 연수구 인천타워대로 334,032-451-3188,2025-06-30
3138,송도달빛축제공원,S2801,인천지하철 1호선,Songdo Moonlight Festival Park,松島달빛祝祭公園,일반역,,,37.40517495,126.6270537,인천교통공사,인천광역시 연수구 송도동 340,032-451-3189,2025-06-30
3201,검단오류,S2802,인천지하철 2호선,Geomdan Oryu,黔丹梧柳,일반역,,,37.595162,126.629206,인천교통공사,인천광역시 서구 검단로 187 (오류동),032-451-4301,2025-06-30
3202,왕길,S2802,인천지하철 2호선,Wanggil,旺吉,일반역,,,37.592191,126.642284,인천교통공사,인천광역시 서구 검단로 323 (왕길동),032-451-4302,2025-06-30
3203,검단사거리,S2802,인천지하철 2호선,Geomdan Sageori,黔丹十字路口,일반역,,,37.601693,126.656545,인천교통공사,인천광역시 서구 검단로 473 (왕길동),032-451-4303,2025-06-30
3204,마전,S2802,인천지하철 2호선,Majeon,麻田,일반역,,,37.597756,126.667195,인천교통공사,인천광역시 서구 완정로 68 (마전동),032-451-4304,2025-06-30
3205,완정,S2802,인천지하철 2호선,Wanjeong,完井,일반역,,,37.592867,126.673612,인천교통공사,인천광역시 서구 원당대로 650 (당하동),032-451-4305,2025-06-30
3206,독정,S2802,인천지하철 2호선,Dokjeong,篤 亭,일반역,,,37.584927,126.676557,인천교통공사,인천광역시 서구 서곶로 760 (백석동),032-451-4306,2025-06-30
3207,검암,S2802,인천지하철 2호선,Geomam,黔岩,환승역,S2802+I28A1,공항철도,37.568611,126.671221,인천교통공사,인천광역시 서구 검바위로 4 (검암동),032-451-4307,2025-06-30
3208,검바위,S2802,인천지하철 2호선,Geombawi,黔石,일반역,,,37.561091,126.677529,인천교통공사,인천광역시 서구 서곶로 492 (검암동),032-451-4308,2025-06-30
3209,아시아드경기장,S2802,인천지하철 2호선,Asiad Stadium,亞運會賽場,일반역,,,37.551373,126.677075,인천교통공사,인천광역시 서구 서곶로 382 (연희동),032-451-4309,2025-06-30
3210,서구청,S2802,인천지하철 2호선,Seo-gu Office,西區廳,일반역,,,37.543839,126.676795,인천교통공사,인천광역시 서구 서곶로 294 (심곡동),032-451-4310,2025-06-30
3211,가정(루원시티),S2802,인천지하철 2호선,Gajeong,佳亭,일반역,,,37.524805,126.675387,인천교통공사,인천광역시 서구 봉오대로 234 (가정동),032-451-4311,2025-06-30
3212,가정중앙시장,S2802,인천지하철 2호선,Gajeong Jungang Market,佳亭中央市場,일반역,,,37.517511,126.676784,인천교통공사,인천광역시 서구 가남로 400 (가정동),032-451-4312,2025-06-30
3213,석남(거북시장),S2802,인천지하철 2호선,Seongnam(Geobuk Market),石南(거북市場),환승역,S2802+S1107,7호선,37.507211,126.676304,인천교통공사,인천광역시 서구 가석로 257 (석남동),032-451-4313,2025-06-30
3214,서부여성회관,S2802,인천지하철 2호선,West Woman’s Community Center,西部女性會館,일반역,,,37.500335,126.675875,인천교통공사,인천광역시 서구 가석로 169 (석남동),032-451-4314,2025-06-30
3215,인천가좌,S2802,인천지하철 2호선,Incheon Gajwa,仁川佳佐,일반역,,,37.493762,126.675465,인천교통공사,인천광역시 서구 가석로 67 (가좌동),032-451-4315,2025-06-30
3216,가재울,S2802,인천지하철 2호선,Gajaeul,伽岾溪,일반역,,,37.484152,126.683883,인천교통공사,인천광역시 서구 열우물로 252 (가좌동),032-451-4316,2025-06-30
3217,주안국가산단,S2802,인천지하철 2호선,Juan National Industrial Complex,朱安國家産團,일반역,,,37.473642,126.681702,인천교통공사,인천광역시 서구 방축로 343 (가좌동),032-451-4317,2025-06-30
3218,주안,S2802,인천지하철 2호선,Juan,朱安,환승역,S2802+S1101,경인선,37.465517,126.680441,인천교통공사,인천광역시 미추홀구 주안로 지하 91-1 (주안동),032-451-4318,2025-06-30
3219,시민공원,S2802,인천지하철 2호선,Citizens Park,市民公園,일반역,,,37.458739,126.680091,인천교통공사,인천광역시 미추홀구 경인로 371 (주안동),032-451-4319,2025-06-30
3220,석바위시장,S2802,인천지하철 2호선,Seokbawi Market,石岩市場,일반역,,,37.457659,126.692387,인천교통공사,인천광역시 미추홀구 구월로 19 (주안동),032-451-4320,2025-06-30
3221,인천시청,S2802,인천지하철 2호선,Incheon City Hall,仁川市廳,환승역,S2802+S2801,인천1호선,37.456929,126.701523,인천교통공사,인천광역시 남동구 구월로 지하 99 (간석동),032-451-4321,2025-06-30
3222,석천사거리,S2802,인천지하철 2호선,Seokcheon Sageori,石泉十字路口,일반역,,,37.4569323,126.710383,인천교통공사,인천광역시 남동구 구월로 지하 181 (구월동),032-451-4322,2025-06-30
3223,모래내시장,S2802,인천지하철 2호선,Moraenae Market,沙丘市場,일반역,,,37.455842,126.719578,인천교통공사,인천광역시 남동구 구월로 지하 255 (구월동),032-451-4323,2025-06-30
3224,만수,S2802,인천지하철 2호선,Mansu,万壽,일반역,,,37.454962,126.731764,인천교통공사,인천광역시 남동구 구월로 지하 367 (만수동),032-451-4324,2025-06-30
3225,남동구청,S2802,인천지하철 2호선,Namdong-gu Office,南洞區廳,일반역,,,37.448179,126.736581,인천교통공사,인천광역시 남동구 인주대로 지하 889 (만수동),032-451-4325,2025-06-30
3226,인천대공원,S2802,인천지하철 2호선,Incheon Grand Park,仁川大公園,일반역,,,37.448475,126.753051,인천교통공사,인천광역시 남동구 수인로 3677 (장수동),032-451-4326,2025-06-30
3227,운연,S2802,인천지하철 2호선,Unyeon,云宴,일반역,,,37.437924,126.759409,인천교통공사,인천광역시 남동구 매소홀로 1229 (운연동),032-451-4327,2025-06-30
3753,까치울,,7호선,Kkachiul,,일반역,,,37.5062231,126.8113558,인천교통공사,경기도 부천시 길주로 626 (춘의동),032-451-1303,2025-06-30
3754,부천종합운동장,,7호선,Bucheon Stadium,富川綜合運動場,환승역,,,37.5056936,126.7975651,인천교통공사,경기도 부천시 길주로 502 (춘의동),032-451-1313,2025-06-30
3755,춘의,,7호선,Chunui,春衣,일반역,,,37.503799,126.78725,인천교통공사,경기도 부천시 길주로 406 (춘의동),032-451-1323,2025-06-30
3756,신중동,,7호선,Sinjung-dong,新中洞,일반역,,,37.503064,126.775977,인천교통공사,경기도 부천시 길주로 314 (중동),032-451-1333,2025-06-30
3757,부천시청,,7호선,Bucheon City Hall,富川市廳,일반역,,,37.5042123,126.7672686,인천교통공사,경기도 부천시 길주로 202 (중동),032-451-1343,2025-06-30
3758,상동,,7호선,Sang-dong,上洞,일반역,,,37.505814,126.753163,인천교통공사,경기도 부천시 길주로 104 (상동),032-451-1353,2025-06-30
3759,삼산체육관,,7호선,Samsan Gymnasium,三山體育館,일반역,,,37.506495,126.742041,인천교통공사,인천광역시 부평구 길주로 713 (삼산동),032-451-1363,2025-06-30
3760,굴포천,,7호선,Gulpocheon,掘浦川,일반역,,,37.507022,126.731349,인천교통공사,인천광역시 부평구 길주로 623 (삼산동),032-451-1373,2025-06-30
3761,부평구청,,7호선,Bupyeong-gu office,富平區廳,환승역,S1107+S2801,인천1호선,37.50745,126.721247,인천교통공사,인천광역시 부평구 부평대로 189 (청천동),032-451-1383,2025-06-30
3762,산곡,,7호선,Sangok,山谷,일반역,,,37.5086623,126.703493,인천교통공사,인천광역시 부평구 길주로 379 (산곡동),032-451-1392,2025-06-30
3763,석남(거북시장),,7호선,Seongnam(Geobuk Market),石南(거북市場),환승역,S1107+S2802,인천2호선,37.506298,126.67492,인천교통공사,인천광역시 서구 길주로 120 (석남동),032-451-1402,2025-06-30
